casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2017-00119235,0,7 Croyland Rd,11,Suspicious Person,2017-11-12 13:17:27,KWigginton,Not Used,No violations,2017,other_crime,Providence,41.803579,-71.414937,Lower South Providence
2017-00119227,0,325 Washington St,11,Juvenile Matter,2017-11-12 12:58:14,DO'Brien,Not Used,No violations,2017,other_crime,Providence,41.8197292,-71.4203694,Ward 13
2017-00119218,1,51 Silver Spring St,11,Vandalism,2017-11-12 12:14:00,KRichards,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.8454822,-71.4159036,Charles
2017-00119212,2,35 Sassafras St,11,"Assault, Simple",2017-11-12 12:00:00,ITavarez,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.7945994,-71.4122873,Elmwood
2017-00119209,0,275 Camp St,11,Suspicious Person,2017-11-12 11:49:00,WHutchinson,Not Used,No violations,2017,other_crime,Providence,41.8468486,-71.4004879,Hope
2017-00119203,1,608 Union Ave,11,Burglary,2017-11-12 11:22:47,JKane,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,property_crime,Providence,41.8068764,-71.45883669999999,Silver Lake
2017-00119197,1,480 Cranston St,11,"Assault, Simple",2017-11-12 11:09:00,Central Station,11-5-3,SIMPLE ASSAULT/BATTERY,2017,other_crime,Providence,41.809849,-71.43303399999999,West End Providence
2017-00119197,1,480 Cranston St,11,Vandalism,2017-11-12 11:09:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,property_crime,Providence,41.809849,-71.43303399999999,West End Providence
2017-00119198,1,21 Lewis St,11,Larceny from Motor Vehicle,2017-11-12 11:07:48,WMann,11-41-1,LARCENY/O $1500 - FROM MV,2017,property_crime,Providence,41.8448425,-71.39606169999999,Blackstone
2017-00119191,1,637 Union Ave,11,Larceny from Motor Vehicle,2017-11-12 10:40:25,JKane,11-41-1,LARCENY/O $1500 - FROM MV,2017,property_crime,Providence,41.8076246,-71.45973599999999,Silver Lake
2017-00119183,1,1264 Elmwood Ave,11,Larceny from Motor Vehicle,2017-11-12 09:46:17,RChin,11-41-1,LARCENY/U $1500 - FROM MV,2017,property_crime,Providence,41.776867,-71.421111,South Elmwood
2017-00119184,1,374 Veazie St,11,Vandalism,2017-11-12 09:45:00,KRichards,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,property_crime,Providence,41.85528499999999,-71.43473999999999,Wanskuck
